,id
0,L23_PC_cADpyr229_1
1,L23_PC_cADpyr229_3
2,L23_PC_cADpyr229_2
3,L23_PC_cADpyr229_5
4,L23_PC_cADpyr229_4
0,L5_STPC_cADpyr232_1
1,L5_TTPC2_cADpyr232_1
2,L5_UTPC_cADpyr232_1
3,L5_TTPC1_cADpyr232_1
