,radius_um,angle_rad,intensity_mWPERmm2,APC
0,0.0,0.0,2.187578125,1
1,0.0,3.141592653589793,2.187578125,1
2,0.0,0.0,10.937890625,8
3,0.0,3.141592653589793,10.937890625,8
4,0.0,0.0,54.689453125,16
5,0.0,3.141592653589793,54.689453125,16
6,0.0,0.0,273.447265625,23
7,0.0,3.141592653589793,273.447265625,23
8,0.0,0.0,1367.236328125,27
9,0.0,3.141592653589793,1367.236328125,27
