,APC,x,y
0,4,0,40
0,3,10,40
0,2,20,40
0,1,30,40
0,0,40,40
0,0,50,40
0,0,60,40
0,0,70,40
0,0,80,40
0,0,90,40
0,0,100,40
0,0,-100,50
0,0,-90,50
0,0,-80,50
0,0,-70,50
0,0,-60,50
0,0,-50,50
0,0,-40,50
0,1,-30,50
0,1,-20,50
0,2,-10,50
0,2,0,50
0,1,10,50
0,0,20,50
0,0,30,50
0,0,40,50
0,0,50,50
0,0,60,50
0,0,70,50
0,0,80,50
0,0,90,50
0,0,100,50
0,0,-100,60
0,0,-90,60
0,0,-80,60
0,0,-70,60
0,0,-60,60
0,0,-50,60
0,0,-40,60
0,0,-30,60
0,0,-20,60
0,0,-10,60
0,0,0,60
0,0,10,60
0,0,20,60
0,0,30,60
0,0,40,60
0,0,50,60
0,0,60,60
0,0,70,60
0,0,80,60
0,0,90,60
0,0,100,60
0,0,-100,70
0,0,-90,70
0,0,-80,70
0,0,-70,70
0,0,-60,70
0,0,-50,70
0,0,-40,70
0,0,-30,70
0,0,-20,70
0,0,-10,70
0,0,0,70
0,0,10,70
0,0,20,70
0,0,30,70
0,0,40,70
0,0,50,70
0,0,60,70
0,0,70,70
0,0,80,70
0,0,90,70
0,0,100,70
0,0,-100,80
0,0,-90,80
0,0,-80,80
0,0,-70,80
0,0,-60,80
0,0,-50,80
0,0,-40,80
0,0,-30,80
0,0,-20,80
0,0,-10,80
0,0,0,80
0,0,10,80
0,0,20,80
0,0,30,80
0,0,40,80
0,0,50,80
0,0,60,80
0,0,70,80
0,0,80,80
0,0,90,80
0,0,100,80
0,0,-100,90
0,0,-90,90
0,0,-80,90
0,0,-70,90
0,0,-60,90
0,0,-50,90
0,0,-40,90
0,0,-30,90
0,0,-20,90
0,0,-10,90
0,0,0,90
0,0,10,90
0,0,20,90
0,0,30,90
0,0,40,90
0,0,50,90
0,0,60,90
0,0,70,90
0,0,80,90
0,0,90,90
0,0,100,90
0,0,-100,100
0,0,-90,100
0,0,-80,100
0,0,-70,100
0,0,-60,100
0,0,-50,100
0,0,-40,100
0,0,-30,100
0,0,-20,100
0,0,-10,100
0,0,0,100
0,0,10,100
0,0,20,100
0,0,30,100
0,0,40,100
0,0,50,100
0,0,60,100
0,0,70,100
0,0,80,100
0,0,90,100
0,0,100,100
